internal_txn_id,settlement_line_ids,discrepancy_type,expected_cardinality
TXN-57616A52E1,SETL-22781933BC|SETL-3FD7E1A111,duplicate_line,one_to_many
TXN-898515ACDB,SETL-597A10C09F,timing_outlier,one_to_one
TXN-A31D5C9CDF,SETL-3C68F47C95,hard_return,one_to_one_reversed
TXN-9AB04CE522,SETL-EFDFA60551,timing_outlier,one_to_one
TXN-B3655BC910,SETL-6DE018FC37,fee_variance,one_to_one
TXN-76963851A9,SETL-8A0AF5ADFB,clean_match,one_to_one
TXN-0432450B26,SETL-37BC5FF7AB,clean_match,one_to_one
TXN-6B671566A4,SETL-169BDECB07|SETL-1DFF7EF783,split_settlement,one_to_many
TXN-1D39864552,SETL-CA16B2EEC3,clean_match,one_to_one
TXN-5FA21422C1,SETL-AFAAEA7C53,clean_match,one_to_one
TXN-E9A9DA2174,SETL-A6BB6A8DC3,hard_return,one_to_one_reversed
TXN-7054AF1969,SETL-41593F9256,clean_match,one_to_one
TXN-98F7CDF1A0,SETL-49366CCE2A,hard_return,one_to_one_reversed
TXN-5E6CA0A558,SETL-910D5D43A2|SETL-4BDD058B4D,split_settlement,one_to_many
TXN-5925FB69F4,SETL-A34F0C2BDE,clean_match,one_to_one
TXN-A65523F732,SETL-B0D276FADF,clean_match,one_to_one
TXN-AE9922B9EB,SETL-5AFC684B3D,clean_match,one_to_one
TXN-9CC33FCE3A,SETL-15CD0E4A97,clean_match,one_to_one
TXN-86239D075E,SETL-423BB0B9AF,clean_match,one_to_one
TXN-C4E26F3750,SETL-2F6DE1F20F|SETL-A9FA6037BF,split_settlement,one_to_many
TXN-50EDAC24DB,SETL-CFA17D6A70,clean_match,one_to_one
TXN-032F96C313,SETL-17A80994BC,clean_match,one_to_one
TXN-908326936A,SETL-FB425BD86B,fee_variance,one_to_one
TXN-67AF40C5BA,SETL-88C789BC1C,clean_match,one_to_one
TXN-546D70A4D0,SETL-2928C12328,hard_return,one_to_one_reversed
TXN-EBE6F77E8C,SETL-14F2FA30FE,fee_variance,one_to_one
TXN-51A496B50D,SETL-48275EF98B|SETL-A002D32894,split_settlement,one_to_many
TXN-A68B20DA72,SETL-146E6146B8,clean_match,one_to_one
TXN-9AF5C986A3,SETL-A4AAB9A82D,clean_match,one_to_one
TXN-E1CB39BF32,SETL-F60911181A,clean_match,one_to_one
TXN-CFFAB8442B,SETL-EC2C41F3FC,clean_match,one_to_one
TXN-132C085C89,SETL-18E9C15944|SETL-105C2CAC8E,split_settlement,one_to_many
TXN-CD1FA7A5EC,SETL-7208226B0B,clean_match,one_to_one
TXN-8DD842E3F8,SETL-39B2FC846F,fee_variance,one_to_one
TXN-24882F2AB9,SETL-4DF6511BF2,clean_match,one_to_one
TXN-0A9AC6A7A4,SETL-14EC0FAE27,timing_outlier,one_to_one
TXN-1077395BBD,SETL-69EBBBB3BF,hard_return,one_to_one_reversed
TXN-31720FD6FE,SETL-9FAE831D8F,hard_return,one_to_one_reversed
TXN-C78740F8F3,SETL-72F5ADDD47,timing_outlier,one_to_one
TXN-4012456008,SETL-3B934EAD07,clean_match,one_to_one
TXN-C4FA1F6C5F,SETL-007415B606,clean_match,one_to_one
TXN-8879705164,SETL-182172A364,descriptor_mangled,one_to_one
TXN-4AF93078BC,,orphan_internal,unmatched_internal
TXN-37663897DB,SETL-84FA72B0EB,clean_match,one_to_one
TXN-852E55CBAB,SETL-142650AFFF|SETL-177A2CC6BB,split_settlement,one_to_many
TXN-3F443B55EC,SETL-FC250A0D69,fee_variance,one_to_one
TXN-E65C20F1EA,SETL-647C3283CD,clean_match,one_to_one
TXN-55ADAF722B,SETL-F3D3BCB82F,batched_settlement,many_to_one
TXN-0257798592,SETL-F3D3BCB82F,batched_settlement,many_to_one
TXN-EB2993A8A0,SETL-F3D3BCB82F,batched_settlement,many_to_one
TXN-FF2AE7AC44,SETL-320FE69106,clean_match,one_to_one
TXN-8BEE2E2EF6,SETL-BF3606015F,clean_match,one_to_one
TXN-091F4F87FD,SETL-3E20A54496,clean_match,one_to_one
TXN-BAB054A39A,SETL-F54108D5B5,clean_match,one_to_one
TXN-A225343CF4,SETL-34911A90FE,clean_match,one_to_one
TXN-01468EB41E,SETL-D371F947C8|SETL-226BECD855,split_settlement,one_to_many
TXN-2B96878A33,SETL-E16E809B20,clean_match,one_to_one
TXN-18C78707CB,SETL-CBB6ADF2C6,clean_match,one_to_one
TXN-051FE1E06C,SETL-64223BEC7B,clean_match,one_to_one
TXN-DCF7B66372,SETL-43B820302E,clean_match,one_to_one
TXN-C6CE03109B,SETL-4CA3D80595,clean_match,one_to_one
TXN-8CC2F3E99C,SETL-FE42E4FA05,clean_match,one_to_one
TXN-6489B2A805,SETL-2F8FCC1B6A,timing_outlier,one_to_one
TXN-642833D270,SETL-349CC23B5E,fee_variance,one_to_one
TXN-33AED1B34A,SETL-77D29F244E,clean_match,one_to_one
TXN-7D5F0EF1F7,SETL-3267A6B2C0,fee_variance,one_to_one
TXN-8C6854871F,SETL-60DCA0312A,clean_match,one_to_one
TXN-50DB089B43,SETL-C0C8DD12CE,clean_match,one_to_one
TXN-4DFA72C2B7,SETL-4738480081,clean_match,one_to_one
TXN-D1D002A123,,orphan_internal,unmatched_internal
TXN-0860B848B6,SETL-2E062A3E6E,clean_match,one_to_one
TXN-38D46569F3,SETL-7F3F4155E1,hard_return,one_to_one_reversed
TXN-667AB1DA5F,SETL-026526EA94|SETL-E4754ECCDF,split_settlement,one_to_many
TXN-EB94EA48A2,SETL-56BC719F41,hard_return,one_to_one_reversed
TXN-CB6123D6E5,SETL-2656B6C5CA,timing_outlier,one_to_one
TXN-85E1DE382D,SETL-36788D6969,batched_settlement,many_to_one
TXN-F6DE6AA8A5,SETL-36788D6969,batched_settlement,many_to_one
TXN-06D5CF6C04,SETL-36788D6969,batched_settlement,many_to_one
TXN-6AA19CB12B,SETL-B30F08FE05,descriptor_mangled,one_to_one
TXN-1F7C116881,SETL-D8E633B1B2,fee_variance,one_to_one
TXN-D06CB8F38A,SETL-B601979222,clean_match,one_to_one
TXN-1667143A93,SETL-19D22BBB46,clean_match,one_to_one
TXN-D6D76DA949,SETL-7A010A9226,clean_match,one_to_one
TXN-4B7936D619,SETL-6F7B4943E4|SETL-16FB606DF9,split_settlement,one_to_many
TXN-F7B74BDC67,SETL-75AD2CA311,fee_variance,one_to_one
TXN-C1F768EB8C,SETL-4819C48A04,fee_variance,one_to_one
TXN-13A299AAF5,SETL-9C05F05463,clean_match,one_to_one
TXN-DB55C851B7,SETL-BFB16B1C29,clean_match,one_to_one
TXN-DAA2F3228F,SETL-7D02A1AF33,clean_match,one_to_one
TXN-6BE76034BC,SETL-C2F8BAE5C5,clean_match,one_to_one
TXN-574D8A9995,SETL-F0BA3F9F9F,fee_variance,one_to_one
TXN-A531526996,SETL-C2D8FC115E,timing_outlier,one_to_one
TXN-72570502DF,SETL-1951B7FFC7,clean_match,one_to_one
TXN-B729C3034C,SETL-FF75469A78,clean_match,one_to_one
TXN-948F8CC736,SETL-5A84EA9AB3,clean_match,one_to_one
TXN-75D7FC3C95,SETL-D0D4261671|SETL-7AE71BEEC3,split_settlement,one_to_many
TXN-DC9892F49F,SETL-55F7B74027|SETL-A5096E5670,split_settlement,one_to_many
TXN-FCEFD2D3BD,SETL-FA4A1164BD,clean_match,one_to_one
TXN-ABDC6FD754,SETL-A4D1E5C256,clean_match,one_to_one
TXN-EC0AD0E27F,SETL-8CF6E9D8E3,clean_match,one_to_one
TXN-DE151AA0AB,SETL-5FFBB5272D,clean_match,one_to_one
TXN-889976C985,SETL-1F6807D27F,batched_settlement,many_to_one
TXN-A61CC6BBE7,SETL-1F6807D27F,batched_settlement,many_to_one
TXN-31987051DB,SETL-1F6807D27F,batched_settlement,many_to_one
TXN-5E2CC2F280,SETL-0B3BC9333A,clean_match,one_to_one
TXN-E973E21B56,SETL-544D17F65D,fee_variance,one_to_one
TXN-01400C8A86,SETL-8C1262986D,clean_match,one_to_one
TXN-4483C86ADA,SETL-B649EDFC1A|SETL-967CE17904,split_settlement,one_to_many
TXN-3E190AA202,SETL-3C81DF5C7E,clean_match,one_to_one
TXN-22C4EC0C41,SETL-0534E4DC63,clean_match,one_to_one
TXN-80D22CEA1B,SETL-E6025DD95F|SETL-F3F3ADC92A,split_settlement,one_to_many
TXN-762ED8EB65,SETL-6523B2196C,clean_match,one_to_one
TXN-1A03806EDC,SETL-D25100C298,clean_match,one_to_one
TXN-3949797C3E,SETL-90BFAC2A33,clean_match,one_to_one
TXN-899CBDA488,SETL-DBC640120F,batched_settlement,many_to_one
TXN-63A1E0556D,SETL-DBC640120F,batched_settlement,many_to_one
TXN-35DEF0ADB1,SETL-DBC640120F,batched_settlement,many_to_one
TXN-B1EE8B5F11,SETL-1E12421DE3,clean_match,one_to_one
TXN-6F345CBB54,SETL-701F1A65EC,clean_match,one_to_one
TXN-22768F3441,SETL-4EAAD155F9,clean_match,one_to_one
TXN-3D2BF604D2,SETL-2BE30082D1,clean_match,one_to_one
TXN-7C20DF2D5A,SETL-021B2431BA,hard_return,one_to_one_reversed
TXN-F3AC1DC1F0,SETL-78632AE469,fee_variance,one_to_one
TXN-0A2324E093,,orphan_internal,unmatched_internal
TXN-166AC3F806,SETL-23B6794516,clean_match,one_to_one
TXN-E86253EC0F,SETL-35ED7EF469|SETL-EF861C6233,split_settlement,one_to_many
TXN-1A4DE0F3DC,SETL-5C15057CE8,clean_match,one_to_one
TXN-35B59B592F,SETL-4338BFCA9A,clean_match,one_to_one
TXN-20090759C5,SETL-C553C7F612,timing_outlier,one_to_one
TXN-09ECDDF5F6,SETL-9300C9072F,clean_match,one_to_one
TXN-CFA2FBEC39,SETL-EE0A11CB4C,clean_match,one_to_one
TXN-20B9DC925C,SETL-1C704F7AED,clean_match,one_to_one
TXN-5155AFDAB5,SETL-0015B623E5,fee_variance,one_to_one
TXN-4106BFE768,SETL-ED4C1F159C,clean_match,one_to_one
TXN-21D45F126B,SETL-BE91529DEA,clean_match,one_to_one
TXN-B6A9605F68,SETL-83774C71CB,clean_match,one_to_one
TXN-309D2564A9,,orphan_internal,unmatched_internal
TXN-71C7E4A656,SETL-8DAB31F003,clean_match,one_to_one
TXN-340CA158F9,SETL-31398DC472,clean_match,one_to_one
TXN-FAE9346D09,SETL-E35FD8C342,clean_match,one_to_one
TXN-F7F23301A3,SETL-F917110747,clean_match,one_to_one
TXN-EE166547DC,SETL-74E1628804,timing_outlier,one_to_one
TXN-299F11CCDE,SETL-6E33249810,fee_variance,one_to_one
TXN-0429B0E53B,SETL-311E9384EB|SETL-663DB723AB,duplicate_line,one_to_many
TXN-4DDAF34BC5,,orphan_internal,unmatched_internal
TXN-3DBCDD8248,SETL-402E9BDB2A|SETL-257FA60FE2,split_settlement,one_to_many
TXN-2E30005357,SETL-9F9731D9FD,clean_match,one_to_one
TXN-592D952EBB,SETL-CC1C5758A4,clean_match,one_to_one
TXN-DAA460CC0E,SETL-05BECDE91A,clean_match,one_to_one
TXN-9FBB4ED734,SETL-63F509B631,fee_variance,one_to_one
TXN-8AD5A9411F,SETL-AFEAE7F84A,clean_match,one_to_one
TXN-2CECC9AABA,SETL-6F4085967F,fee_variance,one_to_one
TXN-B9FD5BAA7F,SETL-4F7A72F9A4,descriptor_mangled,one_to_one
TXN-47BB8EFEA3,SETL-C0049046A0,clean_match,one_to_one
TXN-44D7D9F1E8,SETL-2EC8F8FB2B,clean_match,one_to_one
TXN-D2F5FEF2D2,SETL-6E40E3A66E|SETL-EE926EC2C4,duplicate_line,one_to_many
TXN-A04C2C7C19,SETL-8419A86E62,clean_match,one_to_one
TXN-08BFEC800B,SETL-8A557F7E0C,fee_variance,one_to_one
TXN-692D44B95E,SETL-C94382894C,clean_match,one_to_one
TXN-C2EC03F308,SETL-2A7C8D14F1,descriptor_mangled,one_to_one
TXN-E480FAA0B6,SETL-D9BD198BB8,clean_match,one_to_one
TXN-BA4AA492D1,SETL-2EA2ABEC93,clean_match,one_to_one
TXN-33483B4073,SETL-12E831086E|SETL-4723D497A1,split_settlement,one_to_many
TXN-EDA218B143,,orphan_internal,unmatched_internal
TXN-DDD5A61DE0,SETL-A2DA2B874A,descriptor_mangled,one_to_one
TXN-F4B55167DB,SETL-546C7D2416,clean_match,one_to_one
TXN-2BFD1E7979,SETL-0AA7E52E70,clean_match,one_to_one
TXN-6B7AA2DE90,SETL-5D85B61A5B,clean_match,one_to_one
TXN-173F03A637,,orphan_internal,unmatched_internal
TXN-F5037897AB,SETL-D2CAE1D7F9,fee_variance,one_to_one
TXN-5AC851E7DB,SETL-9EC825F596,clean_match,one_to_one
TXN-E67CB16ED9,SETL-0B3A7A53CE,clean_match,one_to_one
TXN-E16045BAC9,SETL-C1EB6FE040,batched_settlement,many_to_one
TXN-5FB0608DCF,SETL-C1EB6FE040,batched_settlement,many_to_one
TXN-F0B869ECEB,SETL-C1EB6FE040,batched_settlement,many_to_one
TXN-86FEC4FF72,SETL-75A02172A8,clean_match,one_to_one
TXN-D85B833BAE,SETL-47432DC39A,clean_match,one_to_one
TXN-BC89FBAE8E,SETL-3CE56812BE,clean_match,one_to_one
TXN-2A3C244DB4,SETL-33D85EDC7A,clean_match,one_to_one
TXN-049CDDEBAC,SETL-92817080D4,clean_match,one_to_one
TXN-7F1FB10442,SETL-65D2483894,clean_match,one_to_one
TXN-250E9A795C,SETL-0B17E40545,timing_outlier,one_to_one
TXN-C2865EA54F,SETL-28BEAE31FE,clean_match,one_to_one
TXN-A7E99FA5EF,SETL-16BEE72B17,fee_variance,one_to_one
TXN-8874A511FC,SETL-A64DF00CC8,clean_match,one_to_one
TXN-D3DEB6D1A0,SETL-AB80CB6627,clean_match,one_to_one
TXN-C89346A60A,SETL-EF5360393B|SETL-EC9F0BD122,split_settlement,one_to_many
TXN-B1E1C41C76,SETL-59EF26AA1F,clean_match,one_to_one
TXN-BCD4A4EFDA,SETL-B5E3BFC4A8,fee_variance,one_to_one
TXN-096813BB3E,SETL-58156F71ED,hard_return,one_to_one_reversed
TXN-32CDDEF784,SETL-3B35D2FBA7,timing_outlier,one_to_one
TXN-F5A341375A,SETL-0D494F0D60,clean_match,one_to_one
TXN-F25CBA45A5,SETL-6736A8A0CE|SETL-EC5D4C30B9,split_settlement,one_to_many
TXN-829DD284E1,SETL-CECC8FE4F8,clean_match,one_to_one
TXN-C304E8A26E,SETL-99826BE20C,clean_match,one_to_one
TXN-68ADC92872,SETL-385695ACC9,fee_variance,one_to_one
TXN-0C343A8C6E,SETL-4ADD70005A,hard_return,one_to_one_reversed
TXN-B8DD482A5A,SETL-8691E8F74C|SETL-4732DA3A28,duplicate_line,one_to_many
TXN-5D7798221A,SETL-90B0B44AD5,timing_outlier,one_to_one
TXN-A651A79A63,SETL-95178355D6,clean_match,one_to_one
TXN-E22E86FAEB,SETL-E25C56A7F9,clean_match,one_to_one
TXN-D2D9CD2A4B,SETL-5429135BBC,timing_outlier,one_to_one
TXN-6208EAD92E,SETL-F69A2CAFFF,clean_match,one_to_one
TXN-1AE80FA66D,SETL-1EC9A8539E,fee_variance,one_to_one
TXN-5CED964CE1,SETL-5CF35FB7F6|SETL-181573C3DF,split_settlement,one_to_many
TXN-BC910AB552,SETL-69244516F9,fee_variance,one_to_one
TXN-99F6388287,SETL-E0148EB206,fee_variance,one_to_one
TXN-DAB7B23658,SETL-F2DEE568B1,descriptor_mangled,one_to_one
TXN-CD791459BE,SETL-99F0B5767D|SETL-4722CEE1E9,split_settlement,one_to_many
TXN-FDA73AC409,SETL-A752B4C370,clean_match,one_to_one
TXN-302FC5698B,SETL-46CF0FEB64,clean_match,one_to_one
TXN-5D3F760288,SETL-14147E4EFC,clean_match,one_to_one
TXN-ED9BF9CCF7,SETL-A23DC0EF8C,clean_match,one_to_one
TXN-46C3BC658B,SETL-7D54F6727E,clean_match,one_to_one
TXN-825392BE3B,SETL-764DFB151C,clean_match,one_to_one
TXN-33921EAA9C,SETL-584A8CB5E6,clean_match,one_to_one
TXN-7FED7FE439,SETL-38DAFA39D3,clean_match,one_to_one
TXN-86A2FB7B03,SETL-42DB43EFDB,clean_match,one_to_one
TXN-8379573B5D,SETL-79B0B9A358,fee_variance,one_to_one
TXN-DBC8D3CB70,SETL-EDEA7A9843,clean_match,one_to_one
TXN-C4896B0D7A,SETL-67362FA562,clean_match,one_to_one
TXN-565A99A8F4,SETL-DD9A043D68,clean_match,one_to_one
TXN-64A22C5A9D,SETL-45676E4B5D,clean_match,one_to_one
TXN-AB96ECFB87,SETL-73E8C1F928,clean_match,one_to_one
TXN-FB1211E806,SETL-C1BEC8A853,clean_match,one_to_one
TXN-82F897BE6A,SETL-28D3CE53BF|SETL-00F167243C,duplicate_line,one_to_many
TXN-C75440DD57,SETL-0BD66DED18,clean_match,one_to_one
TXN-0643056862,SETL-0B8E196DDC,clean_match,one_to_one
TXN-1A8C9B4A84,SETL-6B471F9663|SETL-644B86FBFC,split_settlement,one_to_many
TXN-A949300821,SETL-790C77142A,clean_match,one_to_one
TXN-1036C75B01,SETL-12D73297B9,clean_match,one_to_one
TXN-9A83A68CBB,SETL-3C44525960,batched_settlement,many_to_one
TXN-AE434A2D0A,SETL-3C44525960,batched_settlement,many_to_one
TXN-82E460FB6F,SETL-3C44525960,batched_settlement,many_to_one
TXN-7A45A0E84A,SETL-CC85A5B8DF,clean_match,one_to_one
TXN-360C963F9B,SETL-E6120813D1,clean_match,one_to_one
TXN-219EFA0ABC,SETL-E7A82D601F|SETL-BE45E924AC,split_settlement,one_to_many
TXN-C73B52E774,SETL-847EEBD28D,clean_match,one_to_one
TXN-57D9D287D8,SETL-0621F43B85|SETL-072583AE4D,split_settlement,one_to_many
TXN-E95951FD3A,SETL-949648A12B,clean_match,one_to_one
TXN-03B0EAED7A,SETL-2928A69D9F,clean_match,one_to_one
TXN-C098BD1381,SETL-3033E92701,clean_match,one_to_one
TXN-9F88BC9AB6,SETL-2C674C36CB,clean_match,one_to_one
TXN-A89EE8FD6A,SETL-488EDFFDBD,clean_match,one_to_one
TXN-68B57F0040,SETL-7B41EA2DDC,timing_outlier,one_to_one
TXN-35CFDE8991,SETL-B38FF62B07,clean_match,one_to_one
TXN-3C16EBBC2D,SETL-04154E9047,clean_match,one_to_one
TXN-0C6CE5E6E1,SETL-0B4AFDDEFA|SETL-77DCC00E2B,split_settlement,one_to_many
TXN-3462190618,SETL-1D17B5D4DA,descriptor_mangled,one_to_one
TXN-A181D2D371,SETL-0DD5BE9F8F,batched_settlement,many_to_one
TXN-AA08595B2A,SETL-0DD5BE9F8F,batched_settlement,many_to_one
TXN-7A39B31C5E,SETL-0DD5BE9F8F,batched_settlement,many_to_one
TXN-35AC25DC97,SETL-6A03C24209,clean_match,one_to_one
TXN-CD10FEDD0B,,orphan_internal,unmatched_internal
TXN-B38C89FBA6,SETL-2BD04559B9,clean_match,one_to_one
TXN-4C90A064DA,,orphan_internal,unmatched_internal
TXN-F8BE7913F8,SETL-711B29FCC3|SETL-51B3DAE3C2,duplicate_line,one_to_many
TXN-56255A3F8C,SETL-0B22533E24|SETL-B4795A7AD0,split_settlement,one_to_many
TXN-3562B8ADA6,SETL-9F6AA45F8B,fee_variance,one_to_one
TXN-72A9A32BEE,SETL-1C4701A229,clean_match,one_to_one
TXN-58F15EBCE6,SETL-9AE515E275,clean_match,one_to_one
TXN-C12C94933A,SETL-2528C799BB,clean_match,one_to_one
TXN-B5D7230C04,SETL-D455A4FECE,clean_match,one_to_one
TXN-1EFD757360,SETL-6CF608EEFF,clean_match,one_to_one
TXN-87D0F86B88,SETL-3FC25FF4CC|SETL-7202E41331,split_settlement,one_to_many
TXN-EC424EBE7A,SETL-8C02186376,fee_variance,one_to_one
TXN-6507EEE15A,SETL-BC12C2CEDB,clean_match,one_to_one
TXN-17586C8F66,SETL-6617B939C5|SETL-5D9CEA2336,split_settlement,one_to_many
TXN-77C973A779,SETL-6224A74F26,clean_match,one_to_one
TXN-02A0DAD4E0,SETL-71A1DC0596,clean_match,one_to_one
TXN-FB50C5EDCD,SETL-0AA606B1CE,clean_match,one_to_one
TXN-88B91BAF7B,SETL-CBDF126CD1,clean_match,one_to_one
TXN-499E97B7CE,,orphan_internal,unmatched_internal
TXN-0A1DCF658A,SETL-5E93DB7041,clean_match,one_to_one
TXN-4850A5B902,SETL-70956AC044,clean_match,one_to_one
TXN-CA7AE85C6B,SETL-05A950B311,clean_match,one_to_one
TXN-3ACE5F40FA,SETL-A64FB3DDB8,timing_outlier,one_to_one
TXN-DCB506737F,SETL-0509BC18B5,timing_outlier,one_to_one
TXN-CE70783EB8,SETL-60F4AED613,clean_match,one_to_one
TXN-94E5345712,SETL-448D3C57C6|SETL-BC4A9EA460,duplicate_line,one_to_many
TXN-3552B43195,SETL-A47CA13B39,clean_match,one_to_one
TXN-616BEAB755,SETL-9A56E05577,clean_match,one_to_one
TXN-FC72DE77AB,SETL-3BA40DFA85,clean_match,one_to_one
TXN-E6BACE7075,SETL-B84C772999,clean_match,one_to_one
TXN-86B1814793,SETL-F0F873E29D,clean_match,one_to_one
TXN-5D9C6C83A1,SETL-6314DCFF85,clean_match,one_to_one
TXN-517469A9D5,,orphan_internal,unmatched_internal
TXN-CA74973E4C,SETL-9551EFC586,fee_variance,one_to_one
TXN-F998DD0EF0,SETL-D77D7E2485|SETL-72E6AF6A92,split_settlement,one_to_many
TXN-3B65668A73,SETL-9BF539715B,clean_match,one_to_one
TXN-4D20A2EAF2,SETL-8DD25D2EE5,clean_match,one_to_one
TXN-976D63607B,SETL-1097A7327A,clean_match,one_to_one
TXN-00759F1B8D,SETL-CDDE3B1BA6|SETL-876CFE8B9F,split_settlement,one_to_many
TXN-D2B64C7A12,SETL-B7D0CDB06E,batched_settlement,many_to_one
TXN-306D140DD5,SETL-B7D0CDB06E,batched_settlement,many_to_one
TXN-3AAAA899E8,SETL-B7D0CDB06E,batched_settlement,many_to_one
TXN-6FC40EBB90,SETL-6124DC1265,clean_match,one_to_one
TXN-418D424D01,SETL-C31A1E7344,clean_match,one_to_one
TXN-C4B7CD512E,SETL-57440280E9,clean_match,one_to_one
TXN-37A3B5AC12,SETL-4B94BA2C29,clean_match,one_to_one
TXN-6B72D0E7AF,SETL-43D92058D8,clean_match,one_to_one
